Strain i,Strain j,replicate,p(i),p(i)',Ti(c),Tj(c),TG(ij),r(i),r(j),I(i),I(j),IG(ij)
NC105.1,NC99.1,W24xW23R7,0.1,0.1515,11400000,6890000,7100000,1.5152,0.9428,1.0597,1.0293,1.0339
NC105.1,NC34.2,W24xW3R1,0.1,0.1742,10833333,5116667,9000000,1.7422,0.9175,0.6909,0.6196,0.632
NC105.1,NC34.2,W24xW3R10,0.1,0.168,9940000,6310000,7330000,1.68,0.9244,0.8072,0.9312,0.9104
NC105.1,NC34.2,W24xW3R11,0.1,0.172,9470000,6870000,7830000,1.72,0.92,0.7032,0.9537,0.9106
NC105.1,NC34.2,W24xW3R12,0.1,0.168,10000000,6910000,7840000,1.68,0.9244,0.7592,0.9534,0.9208
NC105.1,NC34.2,W24xW3R13,0.1,0.166,9300000,6320000,7420000,1.66,0.9267,0.755,0.9192,0.8919
NC105.1,NC34.2,W24xW3R14,0.1,0.2026,9780000,5950000,7025000,2.0257,0.886,0.6873,0.9559,0.9015
NC105.1,NC34.2,W24xW3R15,0.1,0.204,9890000,5050000,6350000,2.0404,0.8844,0.7633,0.8992,0.8715
NC105.1,NC34.2,W24xW3R2,0.1,0.1569,10833333,5116667,7600000,1.5692,0.9368,0.9084,0.7187,0.7485
NC105.1,NC34.2,W24xW3R3,0.1,0.2004,8843750,6792857,5500000,2.004,0.8884,0.8024,1.3902,1.2724
NC105.1,NC34.2,W24xW3R4,0.1,0.1959,8843750,6792857,5100000,1.9594,0.8934,0.885,1.4909,1.3721
NC105.1,NC34.2,W24xW3R5,0.1,0.1839,9516667,6700000,5300000,1.8392,0.9068,0.9763,1.3941,1.3173
NC105.1,NC34.2,W24xW3R6,0.1,0.1633,9516667,6700000,7450000,1.6327,0.9297,0.7824,0.9673,0.9371
NC105.1,NC34.2,W24xW3R7,0.1,0.1646,10450000,6100000,9650000,1.6465,0.9282,0.6577,0.681,0.6772
NC105.1,NC34.2,W24xW3R8,0.1,0.1984,9400000,3475000,5450000,1.9838,0.8907,0.8694,0.7159,0.7463
NC105.1,NC34.2,W24xW3R9,0.1,0.171,10100000,6490000,7410000,1.71,0.9211,0.7971,0.9509,0.9246
NC105.1,NC52.3,W24xW6R1,0.1,0.124,8900000,8740000,7850000,1.24,0.9733,0.9143,1.1439,1.1154
NC105.1,NC52.3,W24xW6R10,0.1,0.0927,9000000,7550000,8800000,0.9271,1.0081,1.1032,0.8511,0.8744
NC105.1,NC52.3,W24xW6R2,0.1,0.1035,8900000,8740000,9050000,1.0348,0.9961,0.9503,0.9695,0.9675
NC105.1,NC52.3,W24xW6R3,0.1,0.156,8580000,8730000,10100000,1.56,0.9378,0.5446,0.9217,0.8629
NC105.1,NC52.3,W24xW6R4,0.1,0.1165,8580000,8730000,6600000,1.1651,0.9817,1.1157,1.3475,1.3205
NC105.1,NC52.3,W24xW6R5,0.1,0.1181,9520000,7740000,8750000,1.1806,0.9799,0.9215,0.9027,0.9049
NC105.1,NC52.3,W24xW6R6,0.1,0.108,9520000,7740000,8050000,1.0797,0.9911,1.0953,0.9701,0.9836
NC105.1,NC52.3,W24xW6R7,0.1,0.1687,8950000,8990000,11110000,1.6869,0.9237,0.4776,0.876,0.8088
NC105.1,NC52.3,W24xW6R8,0.1,0.1089,8400000,8360000,8150000,1.0885,0.9902,0.9469,1.036,1.0263
NC105.1,NC52.3,W24xW6R9,0.1,0.0848,8130000,8120000,7850000,0.8485,1.0168,1.2206,1.0173,1.0345
NC105.1,NC60.1,W24xW9R1,0.1,0.1505,8950000,11000000,9700000,1.5051,0.9439,0.6131,1.2014,1.1129
NC105.1,NC60.1,W24xW9R2,0.1,0.166,9400000,9480000,8500000,1.6599,0.9267,0.6662,1.2035,1.1144
NC34.2,NC69.1,W3xW13R1,0.1,0.1272,7410000,7390000,7600000,1.2718,0.9698,0.7666,1.0026,0.9726
NC34.2,NC69.1,W3xW13R2,0.1,0.1278,7410000,7390000,8200000,1.2779,0.9691,0.7071,0.9299,0.9015
NC34.2,NC71.1,W3xW14R1,0.1,0.2437,5120000,2880000,3450000,2.4365,0.8404,0.6091,0.9933,0.8997
NC34.2,NC71.1,W3xW14R2,0.1,0.2164,5120000,2880000,3600000,2.1641,0.8707,0.6572,0.9188,0.8622
NC34.2,NC71.1,W3xW14R3,0.1,0.2276,6790000,3720000,4450000,2.2755,0.8583,0.6705,0.974,0.9049
NC34.2,NC71.1,W3xW14R4,0.1,0.2248,6790000,3720000,6600000,2.2482,0.8613,0.4576,0.6544,0.6102
NC34.2,NC80.1,W3xW18R1,0.1,0.1184,6790000,6830000,7050000,1.1837,0.9796,0.8137,0.989,0.9682
NC34.2,NC80.1,W3xW18R2,0.1,0.1138,6790000,6830000,7400000,1.138,0.9847,0.8063,0.9373,0.9224
NC52.3,NC69.1,W6xW13R1,0.1,0.1333,8360000,9570000,7750000,1.3327,0.963,0.8094,1.2822,1.2192
NC52.3,NC69.1,W6xW13R2,0.1,0.1879,8120000,6580000,7500000,1.8788,0.9024,0.5763,0.9723,0.8979
NC52.3,NC69.1,W6xW13R3,0.1,0.1844,7550000,5600000,5750000,1.8438,0.9063,0.7122,1.0747,1.0078
NC52.3,NC71.1,W6xW14R2,0.1,0.1899,8120000,4000000,4650000,1.899,0.9001,0.9196,0.9557,0.9488
NC52.3,NC71.1,W6xW14R3,0.1,0.1781,7550000,3800000,6700000,1.7813,0.9132,0.6326,0.6211,0.6231
NC52.3,NC80.1,W6xW18R1,0.1,0.0936,8360000,6280000,9650000,0.9359,1.0071,0.9256,0.6462,0.6723
NC52.3,NC80.1,W6xW18R2,0.1,0.0657,8120000,6580000,7900000,0.6566,1.0382,1.5655,0.8023,0.8524
NC52.3,NC80.1,W6xW18R3,0.1,0.0938,7550000,4850000,7450000,0.9375,1.0069,1.081,0.6465,0.6872
NC52.3,NC99.1,W6xW23R1,0.1,0.0972,8740000,8540000,10000000,0.9724,1.0031,0.8988,0.8514,0.856
NC52.3,NC99.1,W6xW23R2,0.1,0.1143,8740000,8540000,9550000,1.1432,0.9841,0.8006,0.9087,0.8963
NC52.3,NC99.1,W6xW23R3,0.1,0.0547,8730000,7900000,10200000,0.5471,1.0503,1.5644,0.7374,0.7826
NC52.3,NC99.1,W6xW23R4,0.1,0.0761,8730000,7900000,10600000,0.7613,1.0265,1.0818,0.726,0.7531
NC52.3,NC99.1,W6xW23R5,0.1,0.0827,7740000,3110000,9100000,0.8274,1.0192,1.0279,0.3353,0.3926
NC52.3,NC99.1,W6xW23R6,0.1,0.1181,7740000,3110000,6300000,1.1813,0.9799,1.04,0.5038,0.5671
NC52.3,NC99.1,W6xW23R7,0.1,0.0939,8120000,6650000,7600000,0.9394,1.0067,1.1374,0.8691,0.8943
NC52.3,NC99.1,W6xW23R8,0.1,0.1052,7550000,6530000,6900000,1.0521,0.9942,1.04,0.9519,0.9612
NC52.3,NC34.2,W6xW3R1,0.1,0.0936,8360000,5670000,8150000,0.9359,1.0071,1.096,0.6908,0.7287
NC52.3,NC34.2,W6xW3R2,0.1,0.098,8120000,4250000,5100000,0.9798,1.0022,1.625,0.8315,0.9092
NC52.3,NC34.2,W6xW3R3,0.1,0.0906,7550000,4480000,5600000,0.9063,1.0104,1.4877,0.7918,0.8548
NC52.3,NC60.1,W6xW9R1,0.1,0.0926,8360000,11100000,9600000,0.9257,1.0083,0.9407,1.1468,1.1277
NC52.3,NC60.1,W6xW9R2,0.1,0.0646,8120000,6700000,8400000,0.6465,1.0393,1.4953,0.7675,0.8145
NC52.3,NC60.1,W6xW9R3,0.1,0.0552,7550000,7100000,7050000,0.5521,1.0498,1.9398,0.9593,1.0135
NC60.1,NC71.1,W9xW14R1,0.1,0.252,7570000,2880000,4250000,2.5202,0.8311,0.7068,0.8154,0.788
NC60.1,NC71.1,W9xW14R2,0.1,0.1846,7570000,2880000,3350000,1.8462,0.906,1.224,0.9489,0.9997
NC63.2,NC69.1,W11xW13R1,0.25,0.4908,3940000,6930000,5250000,1.9632,0.6789,0.3823,1.9442,1.1776
NC63.2,NC69.1,W11xW13R2,0.25,0.5093,8550000,7680000,6700000,2.0373,0.6542,0.6264,1.7521,1.1787
NC63.2,NC69.1,W11xW13R3,0.25,0.6113,4210000,4750000,4850000,2.4451,0.5183,0.355,1.8896,0.9515
NC63.2,NC71.1,W11xW14R1,0.25,0.6338,8550000,5230000,6700000,2.5353,0.4882,0.5033,1.5988,0.9045
NC63.2,NC71.1,W11xW14R2,0.25,0.641,4210000,3830000,4850000,2.5641,0.4786,0.3385,1.6499,0.8093
NC63.2,NC80.1,W11xW18R1,0.25,0.334,8550000,6600000,6800000,1.3361,0.888,0.9411,1.093,1.0423
NC63.2,NC80.1,W11xW18R2,0.25,0.3323,4210000,8050000,9500000,1.3292,0.8903,0.3334,0.9518,0.7463
NC63.2,NC99.1,W11xW23R1,0.25,0.3364,3940000,5680000,4600000,1.3456,0.8848,0.6365,1.3956,1.1402
NC63.2,NC99.1,W11xW23R2,0.25,0.3932,8550000,7180000,8650000,1.5726,0.8091,0.6285,1.0259,0.8697
NC63.2,NC99.1,W11xW23R3,0.25,0.3436,4210000,8650000,8250000,1.3744,0.8752,0.3713,1.198,0.9139
