Strain i,Strain j,replicate,p(i),p(i)',Ti(c),Tj(c),TG(ij),r(i),r(j),I(i),I(j),IG(ij)
NC105.1,NC60.1,W24xW9R2,0.95,0.9595,9400000,9480000,7950000,1.01,0.8097,1.1707,1.4727,1.1829
NC34.2,NC69.1,W3xW13R2,0.95,0.9736,7410000,7390000,9400000,1.0249,0.5274,0.7692,1.4907,0.7882
NC34.2,NC71.1,W3xW14R2,0.95,0.961,5120000,2880000,5650000,1.0116,0.7795,0.8958,0.6539,0.8864
NC34.2,NC71.1,W3xW14R3,0.95,.,6790000,3720000,7400000,.,.,.,.,0.8968
NC34.2,NC71.1,W3xW14R4,0.95,0.9603,6790000,3720000,6500000,1.0109,0.7935,1.0334,0.7213,1.021
NC34.2,NC80.1,W3xW18R2,0.95,0.9345,6790000,6830000,7400000,0.9837,1.3092,0.9327,0.705,0.9178
NC52.3,NC69.1,W6xW13R1,0.95,0.9634,8360000,9570000,6900000,1.0141,0.7325,1.1948,1.8936,1.2204
NC52.3,NC69.1,W6xW13R2,0.95,0.9737,8120000,6580000,8300000,1.025,0.5253,0.9545,1.5093,0.969
NC52.3,NC69.1,W6xW13R3,0.95,0.9833,7550000,5600000,9100000,1.0351,0.3333,0.8015,1.8462,0.819
NC52.3,NC71.1,W6xW14R1,0.95,0.9888,8360000,5100000,7850000,1.0409,0.2238,1.0232,2.9029,1.0442
NC52.3,NC71.1,W6xW14R2,0.95,0.9758,8120000,4000000,8000000,1.0271,0.4848,0.9882,1.0313,0.9893
NC52.3,NC71.1,W6xW14R3,0.95,0.9844,7550000,3800000,7600000,1.0362,0.3125,0.9587,1.6,0.9688
NC52.3,NC80.1,W6xW18R1,0.95,0.9522,8360000,6280000,7800000,1.0023,0.9563,1.0693,0.842,1.0585
NC52.3,NC80.1,W6xW18R2,0.95,0.9273,8120000,6580000,7900000,0.9761,1.4545,1.053,0.5726,1.0181
NC52.3,NC80.1,W6xW18R3,0.95,0.9594,7550000,4850000,8300000,1.0099,0.8125,0.9007,0.7192,0.8934
NC52.3,NC99.1,W6xW23R2,0.95,0.9341,8740000,8540000,8250000,0.9833,1.3182,1.0774,0.7853,1.0582
NC52.3,NC99.1,W6xW23R4,0.95,0.9187,8730000,7900000,.,0.9671,1.6255,.,.,.
NC52.3,NC99.1,W6xW23R5,0.95,0.9284,7740000,3110000,10600000,0.9772,1.4329,0.7472,0.2048,0.7083
NC52.3,NC99.1,W6xW23R6,0.95,0.9275,7740000,3110000,10450000,0.9763,1.4508,0.7587,0.2051,0.7185
NC52.3,NC99.1,W6xW23R7,0.95,0.9535,8120000,6650000,8100000,1.0037,0.9293,0.9988,0.8835,0.9934
NC52.3,NC34.2,W6xW3R1,0.95,0.9522,8360000,5670000,8800000,1.0023,0.9563,0.9478,0.6738,0.9347
NC52.3,NC34.2,W6xW3R2,0.95,0.9455,8120000,4250000,9500000,0.9952,1.0909,0.8588,0.4101,0.8344
NC52.3,NC34.2,W6xW3R3,0.95,0.9313,7550000,4480000,8000000,0.9803,1.375,0.9628,0.4073,0.9246
NC52.3,NC60.1,W6xW9R1,0.95,0.9237,8360000,11100000,7900000,0.9723,1.5259,1.0884,0.9208,1.0756
NC52.3,NC60.1,W6xW9R2,0.95,0.9283,8120000,6700000,8800000,0.9771,1.4343,0.9443,0.5308,0.9147
NC52.3,NC60.1,W6xW9R3,0.95,0.9292,7550000,7100000,9050000,0.9781,1.4167,0.853,0.5538,0.8318
NC60.1,NC71.1,W9xW14R2,0.95,0.9805,7570000,2880000,9200000,1.0321,0.3897,0.7972,0.8032,0.7973
